ID,Name,unknown_0,patternId,playArea1,playArea2,bossId1,bossId2,extraBossId1,extraBossId2,bossModifier1,bossModifier2,extraBossModifier1,extraBossModifier2,
0,BRUTE FORCE: NB1=DHQ NB2=Morgott,1,0,1001,1011,4929,4840,-1,-1,444,400,0,0
1,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,1,1001,1011,4929,4840,-1,-1,444,400,0,0
2,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,2,1002,1003,4929,4840,-1,-1,444,400,0,0
3,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,3,1000,1010,4929,4840,-1,-1,444,400,0,0
4,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,4,1008,1003,4929,4840,-1,-1,444,400,0,0
5,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,5,1011,1006,4929,4840,-1,-1,444,400,0,0
6,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,6,1007,1002,4929,4840,-1,-1,444,400,0,0
7,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,7,1010,1004,4929,4840,-1,-1,444,400,0,0
8,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,8,1009,1006,4929,4840,-1,-1,444,400,0,0
9,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,9,1011,1001,4929,4840,-1,-1,444,400,0,0
10,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,10,1002,1007,4929,4840,-1,-1,444,400,0,0
11,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,11,1011,1001,4929,4840,-1,-1,444,400,0,0
12,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,12,1004,1010,4929,4840,-1,-1,444,400,0,0
13,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,13,1002,1005,4929,4840,-1,-1,444,400,0,0
14,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,14,1008,1000,4929,4840,-1,-1,444,400,0,0
15,BRUTE FORCE: NB1=DHQ NB2=Morgott,0,15,1010,1003,4929,4840,-1,-1,444,400,0,0
