ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,logicId,battleGoalID,searchEye_dist,searchEye_angY,isNoAvoidHugeEnemy,enableWeaponOnOff,targetAILockDmyPoly,pad8,spEffectId_RangedAttack,searchTargetLv1ForgetTime,searchTargetLv2ForgetTime,BackHomeLife_OnHitEneWal,SightTargetForgetTime,idAttackCannotMove,ear_dist,callHelp_ActionAnimId,callHelp_CallActionId,eye_dist,isGuard_Act,pad6,ear_soundcut_dist,nose_dist,maxBackhomeDist,backhomeDist,backhomeBattleDist,nonBattleActLife,BackHome_LookTargetTime,BackHome_LookTargetDist,SoundTargetForgetTime,BattleStartDist,callHelp_MyPeerId,callHelp_CallPeerId,targetSys_DmgEffectRate,TeamAttackEffectivity,eye_angX,eye_angY,disableDark,caravanRole,callHelp_CallValidMinDistTarget,callHelp_CallValidRange,callHelp_ForgetTimeByArrival,callHelp_MinWaitTime,callHelp_MaxWaitTime,goalAction_ToCaution,ear_listenLevel,callHelp_ReplyBehaviorType,disablePathMove,skipArrivalVisibleCheck,thinkAttr_doAdmirer,enableNaviFlg_Edge,enableNaviFlg_LargeSpace,enableNaviFlg_Ladder,enableNaviFlg_Hole,enableNaviFlg_Door,enableNaviFlg_InSideWall,enableNaviFlg_Lava,enableNaviFlg_Edge_Ordinary,enableNaviFlg_reserve1,searchThreshold_Lv0toLv1,searchThreshold_Lv1toLv2,platoonReplyTime,platoonReplyAddRandomTime,searchEye_angX,isUpdateBattleSight,battleEye_updateDist,battleEye_updateAngX,battleEye_updateAngY,unknown_1,unknown_2,unknown_3,unknown_4,eye_BackOffsetDist,eye_BeginDist,actTypeOnFailedPath,goalAction_ToCautionImportant,shiftAnimeId_RangedAttack,actTypeOnNonBtlFailedPath,isBuddyAI,goalAction_ToSearchLv1,goalAction_ToSearchLv2,enableJumpMove,disableLocalSteering,goalAction_ToDisappear,changeStateAction_ToNormal,MemoryTargetForgetTime,rangedAttackId,useFall_onNormalCaution,useFall_onSearchBattle,enableJumpMove_onBattle,backToHomeStuckAct,pad3,soundBehaviorId01,soundBehaviorId02,soundBehaviorId03,soundBehaviorId04,soundBehaviorId05,soundBehaviorId06,soundBehaviorId07,soundBehaviorId08,weaponOffSpecialEffectId,weaponOnSpecialEffectId,weaponOffAnimId,weaponOnAnimId,surpriseAnimId,
20400000,Juvenile Scholar (ADDED),0,0,[0|0|0],204000,204000,10,5,0,0,1,0,-1,5,8,0,999,3000,0.1,-1,-1,30,0,0,0,0,75,50,6,1,7,12,999,20,0,0,100,0,90,180,0,0,5,15,0,0,0,0,128,0,0,0,0,1,1,0,0,0,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,0,0,0,0,1,1,3,2,-1,0,0,0,2,0,0,2,0,999,-1,0,0,0,0,[0|0|0|0],203000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20400010,Juvenile Scholar (NB),0,0,[0|0|0],204000,204000,10,5,0,0,1,0,-1,5,8,0,5,3000,0.1,-1,-1,30,0,0,0,200,75,85,6,1,7,12,5,20,0,0,100,40,90,180,0,0,5,15,0,0,0,0,128,0,0,0,0,1,1,0,0,0,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,0,16544,16384,0,1,1,0,2,-1,0,0,0,2,0,0,2,0,5,-1,0,0,0,1,[0|0|0|0],203000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000000,Black Knife Assassin,0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,5,8,5,8,3018,0.1,0,0,24,0,1,0,0,100,30,20,1,7,12,3,30,0,0,100,100,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,0,16544,16384,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,5,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000010,Black Knife Assassin,0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,2,2,0,8,3018,0.1,0,0,24,0,1,0,0,55,40,10,1,7,12,3,30,0,0,100,100,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,246,16544,16384,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,2,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000015,Black Knife Assassin (MMV),0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,2,2,0,8,3018,0.1,0,0,24,0,1,0,0,55,40,10,1,7,12,3,30,0,0,100,100,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,246,16544,16384,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,2,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000020,Black Knife Assassin,0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,2,2,5,8,3018,0.1,0,0,24,0,1,0,0,40,30,20,1,7,12,3,30,0,0,100,100,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,246,16544,16384,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,2,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000025,Black Knife Assassin (MMV),0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,2,2,5,8,3018,0.1,0,0,24,0,1,0,0,40,30,20,1,7,12,3,30,0,0,100,100,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,246,16544,16384,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,2,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000030,Black Knife Assassin (ADDED),0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,5,8,5,8,3018,0.1,0,0,24,0,0,0,0,40,30,20,1,7,12,3,30,0,0,100,80,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,5,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21000052,Black Knife Assassin (ADDED),0,0,[0|0|0],10000,210000,16,20,0,0,1,0,-1,5,8,5,8,3018,0.1,0,0,24,0,0,0,3,100,30,20,1,7,12,3,30,0,0,100,80,60,30,1,0,0,0,0,0,0,1,128,0,0,0,1,1,1,1,0,1,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,-1,0,0,1,2,1,0,2,0,5,3017,0,2,1,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21300000,Morgott,1,0,[0|0|0],10000,213000,0,0,0,0,1,0,-1,5,8,0,500,3000,0.1,-1,-1,30,0,1,0,0,9999,9999,9999,1,7,12,3,10,0,0,100,100,90,180,0,0,5,15,0,0,0,0,128,0,0,0,0,1,1,0,0,0,0,0,0,[0|0|0],5,35,0,2,0,0,0,0,0,236,16544,16384,0,1,1,0,2,-1,0,0,0,2,0,0,2,0,600,-1,0,2,0,1,[0|0|0|0],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
