ID,getSoul
20400000,100
20400024,100
20401000,100
20401024,100
20401110,100
20402000,100
20402024,100
20402100,100
20402110,100
20402124,100
20402200,100
20402224,100
20403000,100
20403024,100
20404000,100
20404024,100
21000735,475
21000820,475
21000830,475
21000930,475
21001000,475
21001010,475
21002000,475
21002922,475
21009000,475
21009020,475
21300014,3750
21300520,3750
21300534,3750
21400012,475
21400020,475
21400030,475
21400034,475
21400090,475
21400114,475
21400220,475
21401020,475
21401030,475
21401130,475
21401135,475
21401210,475
21401335,475
21401410,475
21403050,475
21403150,475
22700000,100
22700012,100
22700033,100
22700100,100
22700210,100
22720000,100
22720100,100
22730000,100
22730020,100
22740000,475
22740010,475
22740020,475
22750000,100
22750010,100
22750020,100
22750024,100
22750120,100
22751000,100
22751024,100
22760000,475
22761000,475
22761010,475
22761020,475
22769000,475
22770000,100
22770020,100
22770033,100
25000000,3750
25000010,3750
25000014,3750
25000020,3750
25000030,3750
25000034,3750
25000040,3750
25000042,3750
25000060,3750
25000065,3750
25000100,3750
25000110,3750
25000120,3750
25000165,3750
25000865,3750
25000933,3750
25000941,3750
25001000,3750
25001010,3750
25001020,3750
25001040,3750
25001060,3750
25001065,3750
25001066,3750
25001080,3750
25001100,3750
25001110,3750
25001165,3750
25001933,3750
25006000,3750
25006020,3750
25006100,3750
25006120,3750
25007000,3750
25007020,3750
25007100,3750
25007120,3750
25008000,3750
25008100,3750
25009000,3750
25009038,3750
25009138,3750
25009999,3750
30000006,100
30000030,100
30000034,100
30000106,100
30000130,100
30000134,100
30000834,100
30001030,100
30001034,100
30002030,100
30002034,100
30003034,100
30004007,100
30004107,100
30004251,100
30005007,100
30005020,100
30006020,100
30007051,100
30008010,100
30008020,100
30008040,100
30009900,100
30009999,100
30100000,475
30100014,475
30100030,475
30100034,475
30100040,475
30100100,475
30100110,475
30100114,475
30100120,475
30100134,475
30100200,475
30100214,475
30100234,475
30100250,475
30100260,475
30100275,475
30100400,475
30100410,475
30100420,475
30100430,475
30100500,475
30100507,475
30100510,475
30100520,475
30100600,475
30100610,475
30100620,475
30100651,475
30100800,475
30100814,475
30101000,475
30101030,475
30101034,475
30101040,475
30101100,475
30101120,475
30101130,475
30101134,475
30101140,475
30101200,475
30101230,475
30101234,475
30101240,475
30101400,475
30101410,475
30101420,475
30101500,475
30101510,475
30101520,475
30101600,475
30101610,475
30101620,475
30102000,475
30102014,475
30102020,475
30102034,475
30102040,475
30102100,475
30102110,475
30102120,475
30102134,475
30102200,475
30102220,475
30102230,475
30102234,475
30102400,475
30102410,475
30102420,475
30102451,475
30102500,475
30102507,475
30102510,475
30102520,475
30102600,475
30102610,475
30102620,475
30106000,475
30106010,475
30106020,475
30106051,475
30107000,475
30107010,475
30107020,475
30107051,475
30108000,475
30108010,475
30108020,475
30200030,100
30200034,100
30200110,100
30208010,100
30208020,100
30208040,100
30500000,3750
30500051,3750
30500100,3750
30500110,3750
30500140,3750
30509999,3750
30600000,475
30600010,475
30600020,475
30600030,475
30600040,475
30600050,475
30600100,475
30601000,475
30601010,475
30601020,475
30601030,475
30601040,475
30601050,475
30610000,475
30610100,475
30611000,475
30611100,475
30700000,100
30700032,100
30701000,100
30701032,100
30702000,100
30703000,100
30704000,100
31000000,3750
31000020,3750
31000033,3750
31000042,3750
31000931,3750
31500000,3750
31500010,3750
31500011,3750
31500020,3750
31500032,3750
31500040,3750
31500042,3750
31500050,3750
31500052,3750
31501000,3750
31501010,3750
31501012,3750
31501020,3750
31501030,3750
31501040,3750
31501052,3750
31700000,100
31700030,100
31701000,100
31810052,475
31811024,475
31811032,475
32100000,100
32100010,100
32100012,100
32100030,100
32100032,100
32100210,100
32101010,100
32101110,100
32101210,100
32101310,100
32101412,100
32101520,100
32101612,100
32101720,100
32101820,100
32101933,100
32102030,100
32102132,100
32102240,100
32102340,100
32102542,100
32102650,100
32102764,100
32102860,100
32102968,100
32103010,100
32108900,100
32109000,100
32109010,100
32109100,100
32109200,100
32109300,100
32109400,100
32109500,100
32109600,100
32109700,100
32109800,100
32109810,100
32109900,100
32500033,3750
32500070,3750
32500100,3750
32510010,3750
32510034,3750
32510070,3750
32510100,3750
32511000,3750
32511030,3750
32520054,2500
32520921,2500
33000000,475
33000010,475
33000022,475
33000030,475
33000820,475
33000900,475
33000940,475
33001000,475
33001010,475
33001025,475
33001030,475
33001065,475
33001100,475
33001110,475
33001940,475
33002000,475
33002010,475
33002020,475
33002025,475
33002065,475
33200000,100
33200100,100
33200200,100
33201000,100
33201010,100
33201100,100
33201110,100
33202000,100
33202100,100
33202200,100
33209000,100
33209010,100
33300000,475
33300040,475
33300062,475
33300065,475
33300100,475
33300162,475
33300262,475
33300600,475
33300700,475
33300800,475
33500000,475
33500020,475
33500040,475
33500154,475
33500500,475
33500920,475
33500930,475
33500940,475
33501000,475
33501020,475
33501154,475
33501500,475
33501920,475
33501930,475
33501940,475
33502000,475
33502020,475
33502040,475
33502154,475
33502500,475
33502920,475
33502940,475
33507000,475
33507100,475
33507200,475
33507300,475
33509000,475
33509161,475
33509264,475
33600064,100
33600264,100
33600564,100
33600764,100
33600765,100
33601064,100
33601264,100
33602064,100
33602065,100
33602264,100
33610062,100
33610562,100
33611062,100
33612062,100
33700064,100
33710062,100
34000000,475
34000040,475
34000100,475
34000200,475
34000252,475
34000254,475
34000256,475
34000300,475
34000700,475
34000800,475
34000900,475
34000940,475
34000952,475
34001000,475
34001100,475
34001133,475
34001200,475
34001252,475
34001254,475
34001256,475
34001300,475
34001800,475
34500000,100
34500012,100
34500013,100
34500100,100
34500200,100
34501000,100
34501012,100
34501013,100
34501020,100
34501100,100
34502000,100
34502012,100
34502054,100
34502100,100
34502354,100
34509000,100
34509100,100
34510912,100
34519000,100
34519020,100
34600012,475
34600913,475
34600930,475
34600941,475
34601000,475
34601952,475
34700000,100
34700100,100
34700200,100
34700300,100
34700400,100
34701000,100
34701100,100
34701200,100
34701300,100
34701400,100
34701500,100
34701600,100
34702000,100
34702100,100
34702200,100
34702300,100
34702400,100
34702500,100
34703000,100
34703100,100
34703200,100
34704000,100
34704100,100
34704200,100
34704300,100
34715000,475
34715010,475
34715100,475
34715110,475
34715120,475
34715200,475
34715210,475
34715220,475
34715230,475
34715240,475
34715268,475
